DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/01/2016,9:13,BRONX,10454,40.8043441,-73.9215703,"(40.8043441, -73.9215703)",BRUCKNER BOULEVARD,BROOK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455868,PASSENGER VEHICLE,,,,
06/01/2016,9:10,STATEN ISLAND,10306,40.5550339,-74.1297557,"(40.5550339, -74.1297557)",HYLAN BOULEVARD,SPRATT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3454265,PASSENGER VEHICLE,,,,
06/01/2016,9:08,QUEENS,11368,40.7392896,-73.8528746,"(40.7392896, -73.8528746)",WALDRON STREET,108 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454059,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:06,MANHATTAN,10027,,,,LENOX AVENUE,WEST 124 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3493941,PASSENGER VEHICLE,OTHER,,,
06/01/2016,9:02,BRONX,10473,40.8241454,-73.8481632,"(40.8241454, -73.8481632)",,,2226 TURNBULL AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454937,,,,,
06/01/2016,9:00,QUEENS,11411,40.6919491,-73.7306662,"(40.6919491, -73.7306662)",231 STREET,LINDEN BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3453916,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,BROOKLYN,11211,40.7133192,-73.9492435,"(40.7133192, -73.9492435)",DEVOE STREET,LORIMER STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3453761,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,,,,,,MANHATTAN COLLEGE PARKWAY,WEST 242 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3456056,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,,,,,,FRANCIS LEWIS BOULEVARD,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454726,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,,,,,,37 AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459629,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,,,40.7967991,-73.9293693,"(40.7967991, -73.9293693)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453037,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,STATEN ISLAND,10309,40.5608537,-74.1999069,"(40.5608537, -74.1999069)",ARDEN AVENUE,WEST SERVICE ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454890,PASSENGER VEHICLE,,,,
06/01/2016,9:00,QUEENS,11370,40.7622812,-73.8913154,"(40.7622812, -73.8913154)",,,25-09 77 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454185,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,QUEENS,11369,40.7677426,-73.8647973,"(40.7677426, -73.8647973)",,,107-02 GRAND CENTRAL PARKWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454186,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,BROOKLYN,11211,40.7099207,-73.9622925,"(40.7099207, -73.9622925)",BROADWAY,DRIGGS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453763,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
06/01/2016,9:00,BROOKLYN,11204,40.622788,-73.9900937,"(40.622788, -73.9900937)",61 STREET,17 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454965,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:00,BROOKLYN,11201,40.6890192,-73.9861571,"(40.6890192, -73.9861571)",SCHERMERHORN STREET,HOYT STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453724,PASSENGER VEHICLE,,,,
06/01/2016,9:00,BRONX,10460,40.8467812,-73.8837895,"(40.8467812, -73.8837895)",EAST 181 STREET,SOUTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454464,PASSENGER VEHICLE,OTHER,,,
06/01/2016,8:55,STATEN ISLAND,10306,40.5765028,-74.1036882,"(40.5765028, -74.1036882)",HYLAN BOULEVARD,LINCOLN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454873,PASSENGER VEHICLE,OTHER,,,
06/01/2016,8:52,,,,,,NARROWS ROAD NORTH,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454211,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:50,BRONX,10451,40.8158653,-73.9198588,"(40.8158653, -73.9198588)",COURTLANDT AVENUE,EAST 148 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3453116,PASSENGER VEHICLE,BICYCLE,,,
06/01/2016,8:50,,,40.6110986,-74.1146592,"(40.6110986, -74.1146592)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454263,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:45,,,,,,,1233,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453760,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
06/01/2016,8:45,QUEENS,11102,40.7758008,-73.9287854,"(40.7758008, -73.9287854)",,,25-40 SHORE BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455183,PASSENGER VEHICLE,,,,
06/01/2016,8:45,BROOKLYN,11217,40.6886632,-73.9749142,"(40.6886632, -73.9749142)",,,32 SOUTH PORTLAND AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453742,PASSENGER VEHICLE,,,,
06/01/2016,8:40,BRONX,10471,40.9010398,-73.8968799,"(40.9010398, -73.8968799)",BROADWAY,WEST 254 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3456055,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:40,QUEENS,11420,40.677304,-73.8045606,"(40.677304, -73.8045606)",135 STREET,FOCH BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454706,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:40,MANHATTAN,10019,40.7671096,-73.9817185,"(40.7671096, -73.9817185)",WEST 58 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455679,PASSENGER VEHICLE,,,,
06/01/2016,8:40,BRONX,10455,40.8192235,-73.9106129,"(40.8192235, -73.9106129)",EAST 156 STREET,SAINT ANNS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455867,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:37,BROOKLYN,11229,40.6085727,-73.955334,"(40.6085727, -73.955334)",EAST 18 STREET,QUENTIN ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3456111,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:35,STATEN ISLAND,10304,40.5918035,-74.0992184,"(40.5918035, -74.0992184)",CROMWELL AVENUE,PLATTSBURG STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3456651,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:30,,,40.6673688,-73.7718081,"(40.6673688, -73.7718081)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3453919,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/01/2016,8:30,,,,,,HOPE STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453767,PASSENGER VEHICLE,,,,
06/01/2016,8:30,,,,,,101 AVENUE,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453812,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
06/01/2016,8:30,QUEENS,11358,40.7710529,-73.8006427,"(40.7710529, -73.8006427)",29 AVENUE,164 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454017,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:30,QUEENS,11354,40.7651685,-73.813927,"(40.7651685, -73.813927)",,,150-29 NORTHERN BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454019,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:30,BROOKLYN,11236,40.6462644,-73.912686,"(40.6462644, -73.912686)",AVENUE D,REMSEN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453509,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:30,BROOKLYN,11233,40.6819344,-73.9225436,"(40.6819344, -73.9225436)",RALPH AVENUE,BAINBRIDGE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453699,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:30,BROOKLYN,11201,40.690359,-73.9897375,"(40.690359, -73.9897375)",SCHERMERHORN STREET,BOERUM PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453720,PASSENGER VEHICLE,,,,
06/01/2016,8:27,,,,,,,,160 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454725,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:26,BRONX,10458,40.8593524,-73.8897794,"(40.8593524, -73.8897794)",EAST 189 STREET,WASHINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453298,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:25,STATEN ISLAND,10306,40.560394,-74.1200527,"(40.560394, -74.1200527)",GUYON AVENUE,HYLAN BOULEVARD,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3454267,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,8:25,BRONX,10472,40.8270524,-73.8710363,"(40.8270524, -73.8710363)",WATSON AVENUE,FTELEY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454940,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:30,,,40.6056732,-74.0309361,"(40.6056732, -74.0309361)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453497,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:30,BROOKLYN,11229,40.593617,-73.9503066,"(40.593617, -73.9503066)",,,2781 OCEAN AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454482,PASSENGER VEHICLE,VAN,,,
